# step temp press density pxx pyy pzz pxy pxz pyz pe ke etotal evdwl ecoul epair ebond eangle edihed eimp emol etail enthalpy vol
20000 1025.5956639278076636 22116.684921904667135 1.0000083409730966544 16672.522530439269758 23718.556378233719443 25958.975857041001291 913.02881864950677482 3514.0145314115766269 1726.6719028328666354 6064.2495738689649443 6028.6127604012344818 12092.862334270199426 -505.17042085721186595 -7.9101170083842973213 -513.08053786559628406 2148.2093292650256444 3502.2210985620677093 926.89968390746707882 0 6577.3301117345599778 -36.851475120300243304 16994.572635762844584 15196.785022227375521
21000 991.12283828694944532 26400.216555297891318 1.0000083409730966544 30297.061690076545347 25069.495461737886217 23834.09251407924603 -1566.3165660598417617 1183.6297514674190552 -5450.1612416021298486 6103.3618389042258059 5825.9760646203194483 11929.337903524545254 -392.17613693324040014 279.72726679148792073 -112.4488701417525931 2018.347668571163922 3291.4776612587247655 905.98537921609022305 0 6215.8107090459780011 -36.851475120300243304 17780.405272241034254 15196.785022227375521
22000 971.24265879867357398 22551.41221636224509 1.0000083409730966544 21554.811489386509493 17657.425450291091693 28441.999709409137722 -1427.6715546350901604 2898.7166139983069115 -4737.3925365039331155 6198.4780078176154348 5709.1172400782115801 11907.595247895827924 -453.91378905459492898 107.93446397799431224 -345.97932507660067358 2035.7369715842041842 3562.9652329422060575 945.75512836780706039 0 6544.457332894216961 -36.851475120300243304 16905.653951742042409 15196.785022227375521
23000 982.633148578339501 28985.189450138874236 1.0000083409730966544 24801.149657153553562 29263.325285612998414 32891.093407650078007 -483.62476775546809904 -1188.0298644294009591 -1629.2136606300111907 6181.4293512780795936 5776.0723320780425638 11957.501683356122157 -426.90456733265602907 224.1945316230901426 -202.71003570956585804 1992.558309882705089 3488.3657188822417083 903.21535822269856908 0 6384.1393869876465033 -36.851475120300243304 18381.475358440977288 15196.785022227375521
24000 1028.195810895664863 21935.607047213808983 1.0000083409730966544 21045.2866730974456 21961.321896597783052 22800.212571946172829 5271.0967739895831983 803.19580129172538818 2902.2313319664253868 6043.8236477245527567 6043.8968335897952784 12087.720481314347126 -491.78103794289626194 269.78038177046647661 -222.00065617242970006 1994.2194214806781929 3332.3808278588567191 939.2240545574470616 0 6265.8243038969831105 -36.851475120300243304 16949.298580043392576 15196.785022227375521
25000 1016.4873522757334285 26380.957371595472068 1.0000083409730966544 28840.991450145822455 25388.704833680760203 24913.175830959848099 -740.40296201100454709 -4776.6530616203690442 -2902.1011868428890921 6256.8326776063477155 5975.0726706926734551 12231.905348299020261 -513.78038423837654136 425.19291796142806561 -88.58746627694844733 1985.146849532579381 3427.5337684981318489 932.73952585258496129 0 6345.4201438832960775 -36.851475120300243304 18078.704313342634123 15196.785022227375521
26000 990.57161045440955149 25687.562384558750637 1.0000083409730966544 23035.039879641724838 22346.945748933478171 31680.701525101052539 1508.5009110012829296 -2513.6464177194434342 457.18853200957693161 6326.0904607049487822 5822.7358606471370877 12148.82632135208587 -445.89245587955423389 288.0408645958812599 -157.85159128367300241 2031.6513504912693406 3504.2034782308087415 948.08722326654435619 0 6483.942051988622552 -36.851475120300243304 17841.948487048837706 15196.785022227375521
27000 990.4837942516056728 28096.547206837403792 1.0000083409730966544 31754.674409310769988 25997.13241522129465 26537.834795980154013 4509.1032167687781111 611.25157170348677482 -2270.7707440163444517 6118.1336090461318236 5822.219663183152079 11940.353272229283903 -405.07849338681711515 220.5941097970029432 -184.48438358981420038 2036.7782536092054215 3358.356964951944974 907.4827740747957705 0 6302.6179926359463934 -36.851475120300243304 18167.377591942247818 15196.785022227375521
28000 1006.562205441179799 24593.165735042566666 1.0000083409730966544 24725.144716473670996 21831.724453755963623 27222.62803489808357 718.90963713430437565 198.13135006100876012 -1398.2155515863044002 6153.9381117377042756 5916.7310951964482229 12070.669206934151589 -472.4540881955310283 130.80245938930687544 -341.65162880622420971 1979.3561359399507182 3543.170198761906704 973.06340584207111988 0 6495.5897405439282011 -36.851475120300243304 17521.240766615825123 15196.785022227375521
29000 967.51341676148331317 25220.5434372391137 1.0000083409730966544 22083.75101152145362 29661.488849739678699 23916.390450456197868 -1066.0192537786542744 -1742.3607034535045841 4798.6803935689913487 6271.6364492275042721 5687.1961683315466871 11958.832617559051869 -460.05340359621800417 248.41579156930271211 -211.63761202691529206 2000.7904642493390384 3521.3444637924048948 961.13913321267614265 0 6483.2740612544193937 -36.851475120300243304 17548.449597322553018 15196.785022227375521
30000 1003.1959907086313706 24934.657521750465094 1.0000083409730966544 27522.782792933659948 29451.951456951221189 17829.238315366506868 2055.3604135550313003 -4618.3938434060391955 -394.70854626498680773 6313.4233514746319997 5896.9439550937177046 12210.367306568350614 -445.64223838712632642 370.49085039756914739 -75.151387989557207447 1998.8359792482945068 3427.5380229051625065 962.20073731073171075 0 6388.5747394641884966 -36.851475120300243304 17736.623527612788166 15196.785022227375521
31000 1030.087576767524979 24955.463009990431601 1.0000083409730966544 30467.945556724094786 19330.842599170286121 25067.600874076935725 1624.1937089090902191 5135.8134413100460733 241.52539294974917539 6112.8603048448749178 6055.0169311837235 12167.877236028598418 -443.87429307438145543 190.70102497043060907 -253.17326810395087477 2056.4488962950827045 3391.303207288890917 918.28146936485234164 0 6366.0335729488269862 -36.851475120300243304 17698.74456748101511 15196.785022227375521
32000 978.34874874007414292 25271.399722667847527 1.0000083409730966544 22114.812862457449228 23859.937895308346924 29839.448410237739154 -5216.113016288703875 1190.7068117744424853 64.874633832713527681 6183.9001307189728323 5750.8879553844944894 11934.788086103468231 -420.95980231041613706 249.53628421943125204 -171.42351809098488502 2007.1687000985207305 3407.9756907767869052 940.17925793464996786 0 6355.3236488099573762 -36.851475120300243304 17535.676320083497558 15196.785022227375521
33000 1042.6198347259592083 30200.403482683930633 1.0000083409730966544 26944.517815876970417 36173.751315447661909 27482.941316727145022 -446.88685224859227674 1969.3872361251060283 1482.3625723195639239 6307.7171108847323922 6128.6835162739025691 12436.400627158634961 -431.55534746730870665 433.47107380676192179 1.9157263394532009215 2012.0712576386663386 3370.1585371857440805 923.57158972086790527 0 6305.8013845452787791 -36.851475120300243304 19129.701607075912762 15196.785022227375521
34000 996.84590109995576768 22264.43332556526002 1.0000083409730966544 19636.847980280006595 26951.506168014118884 20204.945828401661856 2676.2992325228874506 4871.5361723572341361 -5743.3280222940311432 6248.6019190332781363 5859.617128751706332 12108.219047784983559 -423.76571993795931803 206.18135147524307627 -217.58436846271627019 2035.9639735167811523 3508.8336696385658797 921.38864434064748821 0 6466.1862874959952023 -36.851475120300243304 17042.674757317283365 15196.785022227375521
35000 986.06810033369856683 21862.664582858091308 1.0000083409730966544 17219.929602051393886 19697.881826815380919 28670.182319707488205 -552.79132140398053252 5381.8061759309448462 -705.97675777136362285 6013.9623483030809439 5796.2635192213392656 11810.2258675244193 -472.78876149810008656 222.79359939578023386 -249.99516210231982427 1973.6320723237195125 3345.9947653351127883 944.33067274656900736 0 6263.9575104054001713 -36.851475120300243304 16655.637762764505169 15196.785022227375521
36000 957.73882542228795955 24208.136137094512378 1.0000083409730966544 22793.977462031911273 27150.67455720540238 22679.756392046230758 -5475.8792916950678773 -135.44652865701269207 64.100289764784989188 6188.3192017632291027 5629.739581737271692 11818.058783500500795 -452.08176312491076487 219.16537532778176001 -232.91638779712897644 2006.4216348414802269 3459.9231505933521476 954.89080412552584676 0 6421.2355895603577665 -36.851475120300243304 17183.296417537094385 15196.785022227375521
37000 975.24787712007741902 23248.410954683542514 1.0000083409730964323 24382.37342610050473 22605.967443387686217 22756.891994562451146 -5321.0157880548495086 1308.5436904081664125 -2531.427613770024891 6434.9581892862706809 5732.6605438672841046 12167.618733153554786 -458.05912657800769239 160.86480858609922961 -297.19431799190840593 2147.8088221101552335 3650.3800006722021863 933.96368449582223548 0 6732.1525072781787458 -36.851475120300243304 17320.152934020261455 15196.785022227375521
