# Time-averaged data for fix dave
# TimeStep v_rho
808000 0.796988
809000 0.796933
810000 0.796902
811000 0.796879
812000 0.79686
813000 0.79682
814000 0.796802
815000 0.796779
816000 0.79678
817000 0.796737
818000 0.796714
819000 0.796695
820000 0.796695
821000 0.796686
822000 0.7967
823000 0.796712
824000 0.79675
825000 0.796792
826000 0.796828
827000 0.796847
828000 0.796864
829000 0.796856
830000 0.796861
831000 0.796873
832000 0.796896
833000 0.796904
834000 0.796939
835000 0.796926
836000 0.79692
837000 0.796914
838000 0.796927
839000 0.796939
840000 0.796926
841000 0.796942
842000 0.796956
843000 0.796962
844000 0.796948
845000 0.796958
846000 0.796976
847000 0.796992
848000 0.796994
849000 0.797017
850000 0.797016
851000 0.79702
852000 0.797023
853000 0.797009
854000 0.797024
855000 0.797044
856000 0.797097
857000 0.797112
858000 0.79713
859000 0.797133
860000 0.797129
861000 0.797129
862000 0.797152
863000 0.797156
864000 0.797163
865000 0.797159
866000 0.797171
867000 0.797178
868000 0.79718
869000 0.797191
870000 0.797204
871000 0.797218
872000 0.797232
873000 0.797245
874000 0.797258
875000 0.797249
876000 0.797258
877000 0.79724
878000 0.797223
879000 0.797231
880000 0.79723
881000 0.797226
882000 0.797245
883000 0.79726
884000 0.797263
885000 0.797269
886000 0.79728
887000 0.797268
888000 0.79727
889000 0.797273
890000 0.797283
891000 0.797272
892000 0.797275
893000 0.797278
894000 0.797287
895000 0.797303
896000 0.797287
897000 0.797271
898000 0.797226
899000 0.79721
900000 0.797186
901000 0.797181
902000 0.79716
903000 0.79716
904000 0.797143
905000 0.797144
906000 0.797147
907000 0.797158
908000 0.797167
909000 0.797154
910000 0.797147
911000 0.797159
912000 0.797161
913000 0.797167
914000 0.797184
915000 0.797191
916000 0.797203
917000 0.797226
918000 0.797234
919000 0.797239
920000 0.797256
921000 0.79727
922000 0.797255
923000 0.797252
924000 0.797243
925000 0.797245
926000 0.797227
927000 0.797211
928000 0.797196
929000 0.797185
930000 0.797194
931000 0.797191
932000 0.797193
933000 0.797166
934000 0.797168
935000 0.79717
936000 0.797179
937000 0.797188
938000 0.797185
939000 0.797181
940000 0.797168
941000 0.797165
942000 0.797166
943000 0.797173
944000 0.797189
945000 0.797195
946000 0.797179
947000 0.79717
948000 0.797168
949000 0.797147
950000 0.797118
951000 0.797083
952000 0.797082
953000 0.797066
954000 0.797064
955000 0.797054
956000 0.79705
957000 0.797055
958000 0.797055
959000 0.797062
960000 0.797065
961000 0.797069
962000 0.797068
963000 0.797076
964000 0.797076
965000 0.797065
966000 0.797049
967000 0.797022
968000 0.796999
969000 0.796971
970000 0.796944
971000 0.796947
972000 0.796925
973000 0.79692
974000 0.796909
975000 0.796891
976000 0.796856
977000 0.796816
978000 0.796802
979000 0.796805
980000 0.796793
981000 0.796803
982000 0.796803
983000 0.796798
984000 0.79678
985000 0.79677
986000 0.796767
987000 0.796765
988000 0.796765
989000 0.796771
990000 0.796782
991000 0.7968
992000 0.796817
993000 0.796835
994000 0.796836
995000 0.796849
996000 0.796852
997000 0.796855
998000 0.796855
999000 0.796865
1000000 0.796869
1001000 0.796878
1002000 0.79687
1003000 0.796865
1004000 0.796867
1005000 0.79687
1006000 0.796841
1007000 0.796818
1008000 0.796813
1009000 0.796801
1010000 0.796789
1011000 0.796781
1012000 0.796769
1013000 0.796758
1014000 0.796741
1015000 0.796717
1016000 0.796685
1017000 0.796666
1018000 0.796654
1019000 0.796643
1020000 0.796634
1021000 0.796621
1022000 0.796599
1023000 0.796567
1024000 0.796548
1025000 0.79653
1026000 0.79652
1027000 0.796507
1028000 0.796497
1029000 0.796489
1030000 0.796499
1031000 0.796522
1032000 0.796528
1033000 0.796546
1034000 0.796556
1035000 0.796573
1036000 0.796591
1037000 0.796612
1038000 0.796637
1039000 0.796653
1040000 0.796669
1041000 0.796694
1042000 0.796703
1043000 0.796708
1044000 0.79671
1045000 0.79671
1046000 0.796722
1047000 0.796724
1048000 0.796728
1049000 0.796731
1050000 0.796728
1051000 0.796733
1052000 0.796733
1053000 0.796727
1054000 0.79672
1055000 0.796711
1056000 0.7967
1057000 0.796691
1058000 0.796697
1059000 0.796696
1060000 0.79669
1061000 0.796689
1062000 0.796691
1063000 0.796688
1064000 0.796686
1065000 0.796691
1066000 0.796699
1067000 0.796696
1068000 0.796673
1069000 0.796667
1070000 0.796662
1071000 0.796667
1072000 0.796674
1073000 0.7967
1074000 0.796702
1075000 0.796696
1076000 0.796704
1077000 0.796696
1078000 0.796687
1079000 0.796692
1080000 0.796703
1081000 0.796712
1082000 0.796704
1083000 0.796698
1084000 0.796703
1085000 0.796682
1086000 0.796676
1087000 0.796695
1088000 0.796702
1089000 0.796718
1090000 0.79672
1091000 0.79671
1092000 0.796699
1093000 0.7967
1094000 0.796698
1095000 0.796695
1096000 0.796684
1097000 0.796685
1098000 0.796686
1099000 0.796684
1100000 0.796684
1101000 0.796675
1102000 0.796679
1103000 0.79669
1104000 0.796705
1105000 0.796718
1106000 0.796723
1107000 0.796732
1108000 0.796728
1109000 0.796718
1110000 0.796722
1111000 0.796739
1112000 0.796759
1113000 0.796769
1114000 0.796763
1115000 0.796757
1116000 0.796757
1117000 0.796762
1118000 0.796752
1119000 0.79673
1120000 0.796723
1121000 0.796712
1122000 0.796704
1123000 0.796683
1124000 0.796681
1125000 0.796676
1126000 0.796678
1127000 0.796675
1128000 0.796681
1129000 0.79671
1130000 0.796733
1131000 0.796744
1132000 0.79676
1133000 0.796768
1134000 0.796778
1135000 0.796791
1136000 0.796813
1137000 0.796836
1138000 0.796857
1139000 0.796882
1140000 0.796928
1141000 0.796957
1142000 0.796992
